date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:03	126566/126566	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/bci.webp	jyywiki.cn/OS/img/bci.webp	(from https://jyywiki.cn/OS/2025/slides/3.0.html)
20:01:04	40024/40024	---M--	200	added ('OK')	image/webp	etag:W/%229c58-195385c2e77%22	https://jyywiki.cn/OS/img/gpio-led.webp	jyywiki.cn/OS/img/gpio-led.webp	(from https://jyywiki.cn/OS/2025/slides/3.1.html)
20:01:05	6992/6992	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/reset-button.webp	jyywiki.cn/OS/img/reset-button.webp	(from https://jyywiki.cn/OS/2025/slides/3.1.html)
20:01:07	188292/188292	---M--	200	added ('OK')	image/webp	etag:W/%222df84-18e07d04575%22	https://jyywiki.cn/OS/img/intel-cpu-reset.webp	jyywiki.cn/OS/img/intel-cpu-reset.webp	(from https://jyywiki.cn/OS/2025/slides/3.1.html)
20:01:08	237220/237220	---M--	200	added ('OK')	image/webp	etag:W/%2239ea4-18e07d04571%22	https://jyywiki.cn/OS/img/bios-1.webp	jyywiki.cn/OS/img/bios-1.webp	(from https://jyywiki.cn/OS/2025/slides/3.2.html)
20:01:08	114268/114268	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/bios-2.webp	jyywiki.cn/OS/img/bios-2.webp	(from https://jyywiki.cn/OS/2025/slides/3.2.html)
20:01:09	23572/23572	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/cih-virus.webp	jyywiki.cn/OS/img/cih-virus.webp	(from https://jyywiki.cn/OS/2025/slides/3.2.html)
20:01:10	23456/23456	---M--	200	added ('OK')	image/webp	etag:W/%225ba0-1953a7ecece%22	https://jyywiki.cn/OS/img/claude-code.webp	jyywiki.cn/OS/img/claude-code.webp	(from https://jyywiki.cn/OS/2025/slides/3.3.html)
20:01:11	50988/50988	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/cs-syllabus.webp	jyywiki.cn/OS/img/cs-syllabus.webp	(from https://jyywiki.cn/OS/2025/slides/4.1.html)
20:01:12	52850/52850	---M--	200	added ('OK')	image/webp	etag:W/%22ce72-18e142b6d95%22	https://jyywiki.cn/OS/img/coq-proof.webp	jyywiki.cn/OS/img/coq-proof.webp	(from https://jyywiki.cn/OS/2025/slides/4.1.html)
20:01:13	9790/9790	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/2-fork.webp	jyywiki.cn/OS/img/2-fork.webp	(from https://jyywiki.cn/OS/2025/slides/5.2.html)
20:01:14	14456/14456	---M--	200	added ('OK')	image/webp	etag:W/%223878-18ee0f0db16%22	https://jyywiki.cn/OS/img/fork-bomb-bash.webp	jyywiki.cn/OS/img/fork-bomb-bash.webp	(from https://jyywiki.cn/OS/2025/slides/5.2.html)
20:01:15	83740/83740	URF---	200	untouched ('OK%20(cached)')	application/webp		https://jyywiki.cn/OS/img/winners-2025.webp	jyywiki.cn/OS/img/winners-2025.webp	(from https://jyywiki.cn/OS/2025/slides/6.0.html)
20:01:17	173170/173170	---M--	200	added ('OK')	image/webp	etag:W/%222a472-19569e3d6a9%22	https://jyywiki.cn/OS/img/manus.webp	jyywiki.cn/OS/img/manus.webp	(from https://jyywiki.cn/OS/2025/slides/6.0.html)
